Player,Pos,GP,PP_TOI,SH_TOI,PP GF/60,PP GA/60,STS/60,PPGF,PPGA,STS,SHP,PP GA ADJ,PP GA/60 ADJ,STSA,STSA/60,PPP,PP TOI%,SH TOI%,ST TOI%
Mitchell Marner,R,300,765.62,254.58,10.27,6.83,3.4399999999999995,131.0,29.0,102.0,4,25.0,5.89,106.0,4.38,93,56.2,17.9,74.1
Brayden Point,C,295,842.43,193.9,10.18,8.97,1.209999999999999,143.0,29.0,114.0,5,24.0,7.43,119.0,2.75,71,55.2,12.2,67.4
Joe Morrow,D,162,71.77,78.17,10.03,8.44,1.5899999999999999,12.0,11.0,1.0,0,11.0,8.44,1.0,1.59,7,9.3,9.0,18.3
Brad Marchand,L,533,1164.63,897.97,9.99,5.81,4.180000000000001,194.0,87.0,107.0,33,54.0,3.61,140.0,6.38,121,45.2,32.0,77.2
Taylor Fedun,D,127,66.15,74.28,9.98,4.85,5.130000000000001,11.0,6.0,5.0,1,5.0,4.04,6.0,5.94,7,11.2,12.0,23.2
Patrice Bergeron,C,510,1443.6,975.13,9.98,5.91,4.07,240.0,96.0,144.0,23,73.0,4.49,167.0,5.49,135,59.2,36.6,95.8
Sidney Crosby,C,514,1897.62,187.4,9.55,6.08,3.4700000000000006,302.0,19.0,283.0,2,17.0,5.44,285.0,4.11,202,71.9,7.2,79.1
Nicklas Backstrom,C,543,1846.1,444.57,9.49,7.02,2.4700000000000006,292.0,52.0,240.0,1,51.0,6.88,241.0,2.61,211,68.0,14.7,82.7
Blake Coleman,C,246,95.47,579.12,9.43,6.94,2.4899999999999993,15.0,67.0,-52.0,12,55.0,5.7,-40.0,3.73,6,7.4,43.8,51.2
Anthony Cirelli,C,168,89.38,439.93,9.4,6.82,2.58,14.0,50.0,-36.0,9,41.0,5.59,-27.0,3.81,6,10.7,47.8,58.5
Connor McDavid,C,351,1141.13,245.72,9.31,7.81,1.5000000000000009,177.0,32.0,145.0,8,24.0,5.86,153.0,3.45,137,69.5,14.3,83.8
Patrick Eaves,R,219,479.73,78.08,9.26,3.07,6.1899999999999995,74.0,4.0,70.0,0,4.0,3.07,70.0,6.19,37,39.1,6.8,45.9
Neal Pionk,D,172,351.87,339.52,9.21,10.07,-0.8599999999999994,54.0,57.0,-3.0,1,56.0,9.9,-2.0,-0.69,43,44.7,42.3,87.0
T.J. Oshie,R,511,1552.4,524.85,9.12,5.94,3.179999999999999,236.0,52.0,184.0,7,45.0,5.14,191.0,3.98,102,59.7,18.4,78.1
Steven Stamkos,C,430,1513.03,219.93,9.04,4.09,4.949999999999999,228.0,15.0,213.0,6,9.0,2.46,219.0,6.58,160,64.6,9.5,74.1
Niklas Hjalmarsson,D,474,53.25,1313.85,9.01,6.8,2.21,8.0,149.0,-141.0,11,138.0,6.3,-130.0,2.71,3,2.1,60.7,62.8
John Tavares,C,523,1698.63,235.23,8.9,9.18,-0.27999999999999936,252.0,36.0,216.0,6,30.0,7.65,222.0,1.25,163,66.1,9.8,75.9
Claude Giroux,C,556,1970.52,546.73,8.89,7.13,1.7600000000000007,292.0,65.0,227.0,6,59.0,6.47,233.0,2.42,211,64.7,18.8,83.5
Troy Brouwer,R,484,967.7,865.38,8.87,6.79,2.079999999999999,143.0,98.0,45.0,6,92.0,6.38,51.0,2.49,61,39.4,33.1,72.5
Chad Ruhwedel,D,163,61.17,163.13,8.83,8.46,0.3699999999999992,9.0,23.0,-14.0,0,23.0,8.46,-14.0,0.37,4,7.5,19.4,26.9
John Klingberg,D,425,1326.05,192.63,8.82,7.16,1.6600000000000001,195.0,23.0,172.0,0,23.0,7.16,172.0,1.66,111,62.5,8.9,71.4
Kris Letang,D,423,1502.73,997.42,8.78,6.56,2.2199999999999998,220.0,109.0,111.0,8,101.0,6.08,119.0,2.7,131,69.0,46.4,115.4
Torey Krug,D,520,1669.27,164.92,8.77,5.46,3.3099999999999996,244.0,15.0,229.0,1,14.0,5.09,230.0,3.68,159,66.3,6.1,72.4
Oscar Klefbom,D,378,862.47,745.08,8.77,7.73,1.0399999999999991,126.0,96.0,30.0,2,94.0,7.57,32.0,1.2,56,48.9,41.1,90.0
Nikita Zaitsev,D,281,191.85,722.77,8.76,7.14,1.62,28.0,86.0,-58.0,1,85.0,7.06,-57.0,1.7,12,14.7,52.7,67.4
Ondrej Palat,L,482,1024.8,644.6,8.67,6.24,2.4299999999999997,148.0,67.0,81.0,11,56.0,5.21,92.0,3.46,69,39.6,24.8,64.4
Joe Pavelski,C,551,1786.68,457.02,8.63,6.7,1.9300000000000006,257.0,51.0,206.0,5,46.0,6.04,211.0,2.59,167,63.0,18.0,81.0
Jamie Benn,L,551,1712.55,582.87,8.62,7.82,0.7999999999999989,246.0,76.0,170.0,16,60.0,6.18,186.0,2.44,145,60.0,20.7,80.7
Ryan O'Reilly,C,539,1600.33,998.83,8.59,7.03,1.5599999999999996,229.0,117.0,112.0,13,104.0,6.25,125.0,2.34,143,59.4,38.0,97.4
Jason Spezza,C,512,1336.2,97.85,8.58,9.81,-1.2300000000000004,191.0,16.0,175.0,1,15.0,9.2,176.0,-0.62,121,52.7,3.7,56.4
Kevin Shattenkirk,D,478,1339.1,375.75,8.56,5.11,3.45,191.0,32.0,159.0,2,30.0,4.79,161.0,3.77,130,56.0,14.1,70.1
Tyler Seguin,C,538,1754.52,258.7,8.55,8.35,0.20000000000000107,250.0,36.0,214.0,2,34.0,7.89,216.0,0.66,174,63.4,9.5,72.9
Victor Hedman,D,504,1474.45,1125.25,8.55,6.45,2.1000000000000005,210.0,121.0,89.0,10,111.0,5.92,99.0,2.63,142,53.8,41.7,95.5
Bryan Rust,R,308,246.53,381.08,8.52,6.14,2.38,35.0,39.0,-4.0,10,29.0,4.57,6.0,3.95,22,16.1,25.1,41.2
Kyle Connor,L,249,750.07,130.77,8.48,8.26,0.22000000000000064,106.0,18.0,88.0,3,15.0,6.88,91.0,1.6,49,59.4,10.7,70.1
Wayne Simmonds,R,542,1755.63,195.05,8.48,6.15,2.33,248.0,20.0,228.0,3,17.0,5.23,231.0,3.25,128,59.2,6.8,66.0
Yanni Gourde,C,254,333.08,357.15,8.47,5.38,3.0900000000000007,47.0,32.0,15.0,8,24.0,4.03,23.0,4.44,28,25.8,25.9,51.7
Ryan Nugent-Hopkins,C,502,1375.85,769.07,8.46,8.27,0.19000000000000128,194.0,106.0,88.0,7,99.0,7.72,95.0,0.74,115,56.3,31.1,87.4
Leon Draisaitl,C,422,1258.7,274.77,8.44,8.3,0.1399999999999988,177.0,38.0,139.0,7,31.0,6.77,146.0,1.67,122,63.6,13.3,76.9
John Carlson,D,523,1683.62,1410.88,8.41,6.51,1.9000000000000004,236.0,153.0,83.0,4,149.0,6.34,87.0,2.07,159,64.1,48.4,112.5
Johan Larsson,C,392,165.25,556.72,8.35,8.62,-0.2699999999999996,23.0,80.0,-57.0,3,77.0,8.3,-54.0,0.05,9,8.2,30.7,38.9
Brayden Schenn,C,548,1639.9,122.03,8.34,3.93,4.41,228.0,8.0,220.0,0,8.0,3.93,220.0,4.41,130,56.5,4.2,60.7
David Backes,R,456,979.28,494.08,8.33,5.95,2.38,136.0,49.0,87.0,1,48.0,5.83,88.0,2.5,66,43.3,20.4,63.7
Marcus Johansson,C,465,1289.63,59.57,8.23,6.04,2.1900000000000004,177.0,6.0,171.0,0,6.0,6.04,171.0,2.19,87,54.9,2.4,57.3
Kimmo Timonen,D,93,270.72,262.67,8.2,4.34,3.8599999999999994,37.0,19.0,18.0,1,18.0,4.11,19.0,4.09,20,50.1,46.1,96.2
Darren Helm,L,448,250.75,805.98,8.14,8.11,0.030000000000001137,34.0,109.0,-75.0,15,94.0,7.0,-60.0,1.14,12,10.7,34.1,44.8
Mark Letestu,C,385,612.55,854.82,8.13,7.23,0.9000000000000004,83.0,103.0,-20.0,13,90.0,6.32,-7.0,1.81,44,31.8,42.0,73.8
Tyler Bozak,C,495,1240.57,330.95,8.13,7.43,0.7000000000000011,168.0,41.0,127.0,4,37.0,6.71,131.0,1.42,79,50.1,13.1,63.2
Nate Schmidt,D,396,325.72,491.53,8.11,7.32,0.7899999999999991,44.0,60.0,-16.0,1,59.0,7.2,-15.0,0.91,26,17.0,24.3,41.3
J.T. Miller,C,478,956.67,178.02,8.09,9.77,-1.6799999999999997,129.0,29.0,100.0,6,23.0,7.75,106.0,0.34,79,40.4,7.4,47.8
Casey Cizikas,C,474,51.92,998.23,8.09,7.15,0.9399999999999995,7.0,119.0,-112.0,16,103.0,6.19,-96.0,1.9,4,2.1,44.6,46.7
Alexander Steen,L,481,1210.25,868.2,8.08,6.29,1.79,163.0,91.0,72.0,7,84.0,5.81,79.0,2.27,98,50.8,34.9,85.7
Logan Couture,C,483,1515.07,650.87,8.08,6.73,1.3499999999999996,204.0,73.0,131.0,14,59.0,5.44,145.0,2.64,115,60.1,29.1,89.2
Jack Eichel,C,354,1213.08,158.12,8.06,4.93,3.130000000000001,163.0,13.0,150.0,3,10.0,3.79,153.0,4.27,118,67.8,9.8,77.6
Brent Burns,D,549,1826.45,940.72,8.05,5.68,2.370000000000001,245.0,89.0,156.0,10,79.0,5.04,166.0,3.01,162,65.0,36.8,101.8
Dave Bolland,C,101,104.4,171.58,8.05,8.39,-0.33999999999999986,14.0,24.0,-10.0,2,22.0,7.69,-8.0,0.36,10,19.9,32.8,52.7
Erik Haula,L,405,358.27,494.27,8.04,4.98,3.0599999999999987,48.0,41.0,7.0,6,35.0,4.25,13.0,3.79,31,17.4,26.0,43.4
Blake Wheeler,R,559,1754.2,668.22,8.0,7.54,0.45999999999999996,234.0,84.0,150.0,19,65.0,5.84,169.0,2.16,164,60.1,22.1,82.2
Patrick Marleau,C,558,1507.65,418.97,7.96,8.88,-0.9200000000000008,200.0,62.0,138.0,3,59.0,8.45,141.0,-0.49,108,54.1,16.2,70.3
Alex Chiasson,R,512,920.05,446.6,7.96,7.79,0.16999999999999993,122.0,58.0,64.0,8,50.0,6.72,72.0,1.24,52,34.8,16.7,51.5
Mike Matheson,D,299,203.65,607.28,7.95,6.52,1.4300000000000006,27.0,66.0,-39.0,4,62.0,6.13,-35.0,1.82,13,12.9,43.8,56.7
Sean Monahan,C,541,1622.73,219.77,7.95,6.55,1.4000000000000004,215.0,24.0,191.0,3,21.0,5.73,194.0,2.22,121,56.9,8.5,65.4
Kyle Palmieri,R,491,1238.88,207.8,7.94,5.77,2.170000000000001,164.0,20.0,144.0,1,19.0,5.49,145.0,2.45,112,48.2,7.8,56.0
Nathan MacKinnon,C,525,1672.25,230.15,7.93,8.6,-0.6699999999999999,221.0,33.0,188.0,4,29.0,7.56,192.0,0.37,154,58.1,8.2,66.3
Paul Stastny,C,478,1146.63,521.6,7.9,6.67,1.2300000000000004,151.0,58.0,93.0,5,53.0,6.1,98.0,1.8,80,50.5,20.9,71.4
J.T. Compher,L,223,533.37,390.43,7.87,7.99,-0.1200000000000001,70.0,52.0,18.0,8,44.0,6.76,26.0,1.11,22,40.9,33.5,74.4
Morgan Rielly,D,517,1052.38,712.93,7.87,8.08,-0.20999999999999996,138.0,96.0,42.0,1,95.0,8.0,43.0,-0.13,87,41.1,27.3,68.4
Nic Dowd,C,251,114.63,315.18,7.85,6.09,1.7599999999999998,15.0,32.0,-17.0,4,28.0,5.33,-13.0,2.52,9,9.1,22.7,31.8
Chris Kunitz,L,441,825.63,160.17,7.85,5.24,2.6099999999999994,108.0,14.0,94.0,2,12.0,4.5,96.0,3.35,50,35.8,7.0,42.8
Jacob Josefson,C,224,214.35,320.17,7.84,8.25,-0.41000000000000014,28.0,44.0,-16.0,5,39.0,7.31,-11.0,0.53,14,19.2,26.7,45.9
Matt Niskanen,D,539,888.05,1267.22,7.84,6.44,1.3999999999999995,116.0,136.0,-20.0,5,131.0,6.2,-15.0,1.64,65,33.0,44.0,77.0
James van Riemsdyk,L,497,1388.2,177.18,7.82,3.39,4.43,181.0,10.0,171.0,5,5.0,1.69,176.0,6.13,104,55.1,7.0,62.1
Travis Zajac,C,520,1105.53,1241.75,7.82,6.28,1.54,144.0,130.0,14.0,14,116.0,5.6,28.0,2.22,70,42.2,44.2,86.4
Tyler Johnson,C,520,1198.12,643.72,7.81,6.52,1.29,156.0,70.0,86.0,9,61.0,5.69,95.0,2.12,85,42.9,22.9,65.8
Leo Komarov,R,415,384.17,847.17,7.81,5.67,2.1399999999999997,50.0,80.0,-30.0,8,72.0,5.1,-22.0,2.71,21,18.9,41.5,60.4
Mikhail Sergachev,D,228,392.12,98.95,7.8,6.67,1.13,51.0,11.0,40.0,1,10.0,6.06,41.0,1.74,35,33.5,8.0,41.5
Keith Yandle,D,563,1992.77,389.1,7.77,7.71,0.05999999999999961,258.0,50.0,208.0,3,47.0,7.25,211.0,0.52,178,69.1,14.1,83.2
David Legwand,C,242,424.87,337.43,7.77,6.4,1.3699999999999992,55.0,36.0,19.0,4,32.0,5.69,23.0,2.08,32,32.4,27.9,60.3
Mark Stone,R,445,1200.4,491.87,7.75,6.47,1.2800000000000002,155.0,53.0,102.0,8,45.0,5.49,110.0,2.26,91,53.1,22.4,75.5
Aleksander Barkov,C,479,1449.33,617.33,7.74,5.73,2.01,187.0,59.0,128.0,9,50.0,4.86,137.0,2.88,111,56.3,26.7,83.0
Mark Scheifele,C,508,1474.05,301.9,7.73,9.74,-2.01,190.0,49.0,141.0,8,41.0,8.15,149.0,-0.42,102,55.1,11.1,66.2
Jared Spurgeon,D,491,1095.03,1095.55,7.73,7.56,0.17000000000000082,141.0,138.0,3.0,5,133.0,7.28,8.0,0.45,68,43.5,47.2,90.7
Niklas Kronwall,D,438,1160.82,790.48,7.7,7.21,0.4900000000000002,149.0,95.0,54.0,1,94.0,7.13,55.0,0.57,91,51.5,34.1,85.6
Taylor Hall,L,456,1359.22,87.75,7.68,4.79,2.8899999999999997,174.0,7.0,167.0,2,5.0,3.42,169.0,4.26,117,57.5,3.6,61.1
Rasmus Ristolainen,D,493,1384.33,1127.85,7.67,8.25,-0.5800000000000001,177.0,155.0,22.0,2,153.0,8.14,24.0,-0.47,104,56.1,48.1,104.2
Vladimir Tarasenko,R,469,1298.78,106.62,7.67,2.25,5.42,166.0,4.0,162.0,0,4.0,2.25,162.0,5.42,112,55.6,4.3,59.9
Sean Walker,D,109,62.6,88.82,7.67,6.08,1.5899999999999999,8.0,9.0,-1.0,0,9.0,6.08,-1.0,1.59,6,12.8,18.1,30.9
Dustin Byfuglien,D,419,1411.22,724.17,7.65,7.46,0.1900000000000004,180.0,90.0,90.0,6,84.0,6.96,96.0,0.69,112,63.5,30.2,93.7
Jaden Schwartz,L,468,1150.25,416.5,7.62,4.75,2.87,146.0,33.0,113.0,6,27.0,3.89,119.0,3.73,76,49.0,17.1,66.1
Josh Jooris,R,213,55.3,274.68,7.59,7.43,0.16000000000000014,7.0,34.0,-27.0,3,31.0,6.77,-24.0,0.82,5,5.0,29.5,34.5
Jonathan Toews,C,535,1636.12,839.9,7.59,8.14,-0.5500000000000007,207.0,114.0,93.0,17,97.0,6.93,110.0,0.66,101,59.0,33.8,92.8
Gabriel Landeskog,L,515,1559.68,403.55,7.54,7.88,-0.33999999999999986,196.0,53.0,143.0,5,48.0,7.14,148.0,0.4,106,56.2,14.9,71.1
Mark Giordano,D,508,1560.6,1385.42,7.54,7.45,0.08999999999999986,196.0,172.0,24.0,19,153.0,6.63,43.0,0.91,109,58.2,55.3,113.5
Teuvo Teravainen,L,428,996.3,257.43,7.53,5.83,1.7000000000000002,125.0,25.0,100.0,10,15.0,3.5,110.0,4.03,90,48.1,13.2,61.3
David Krejci,C,487,1185.85,258.85,7.49,4.4,3.09,148.0,19.0,129.0,4,15.0,3.48,133.0,4.01,102,50.9,10.1,61.0
Jonathan Huberdeau,L,488,1410.6,78.43,7.49,7.65,-0.16000000000000014,176.0,10.0,166.0,1,9.0,6.89,167.0,0.6,119,54.2,3.4,57.6
Jake Guentzel,L,243,497.6,68.43,7.48,4.38,3.1000000000000005,62.0,5.0,57.0,1,4.0,3.51,58.0,3.97,36,42.2,5.8,48.0
David Perron,L,510,1276.95,151.78,7.47,3.56,3.9099999999999997,159.0,9.0,150.0,2,7.0,2.77,152.0,4.7,106,48.8,5.7,54.5
Ryan Johansen,C,553,1584.0,504.92,7.46,6.89,0.5700000000000003,197.0,58.0,139.0,8,50.0,5.94,147.0,1.52,131,54.2,16.7,70.9
Mats Zuccarello,R,509,1315.78,282.85,7.43,6.79,0.6399999999999997,163.0,32.0,131.0,1,31.0,6.58,132.0,0.85,94,52.9,11.3,64.2
